Date,Province,Industry,Work Type,Gender,Age Group,Avg Hourly Wage,Median Hourly Wage,Avg Weekly Wage,Median Weekly Wage
2024-01,Ontario,Agriculture,Full-time,Male,15-24,47.39,47.8,1548.39,1471.44
2024-01,Ontario,Agriculture,Full-time,Male,25-34,41.04,42.11,1552.06,1461.25
2024-01,Ontario,Agriculture,Full-time,Male,35-44,30.58,29.26,929.47,897.07
2024-01,Ontario,Agriculture,Full-time,Male,45-54,46.68,48.9,1798.33,1519.55
2024-01,Ontario,Agriculture,Full-time,Male,55-64,45.79,46.25,1477.27,1838.9
2024-01,Ontario,Agriculture,Full-time,Male,65+,44.81,43.31,1654.23,1483.18
2024-01,Ontario,Agriculture,Full-time,Female,15-24,35.28,34.83,1070.61,1286.58
2024-01,Ontario,Agriculture,Full-time,Female,25-34,30.55,30.23,1102.5,1193.37
2024-01,Ontario,Agriculture,Full-time,Female,35-44,36.96,36.96,1442.2,1334.7
2024-01,Ontario,Agriculture,Full-time,Female,45-54,37.73,36.88,1223.53,1235.88
2024-01,Ontario,Agriculture,Full-time,Female,55-64,34.42,33.55,1129.4,1057.39
2024-01,Ontario,Agriculture,Full-time,Female,65+,44.61,44.17,1757.75,1664.98
2024-01,Ontario,Agriculture,Full-time,Non-binary,15-24,36.75,35.0,1332.16,1143.01
2024-01,Ontario,Agriculture,Full-time,Non-binary,25-34,41.69,42.47,1332.19,1462.06
2024-01,Ontario,Agriculture,Full-time,Non-binary,35-44,35.4,35.39,1321.59,1205.81
2024-01,Ontario,Agriculture,Full-time,Non-binary,45-54,35.78,35.1,1379.6,1254.34
2024-01,Ontario,Agriculture,Full-time,Non-binary,55-64,44.34,43.64,1548.15,1490.23
2024-01,Ontario,Agriculture,Full-time,Non-binary,65+,29.48,28.09,1005.42,900.71
2024-01,Ontario,Agriculture,Part-time,Male,15-24,28.75,28.75,951.96,1086.2
2024-01,Ontario,Agriculture,Part-time,Male,25-34,27.74,28.51,980.57,1113.54
2024-01,Ontario,Agriculture,Part-time,Male,35-44,29.56,29.86,961.17,1136.81
2024-01,Ontario,Agriculture,Part-time,Male,45-54,42.12,43.16,1487.0,1679.24
2024-01,Ontario,Agriculture,Part-time,Male,55-64,41.69,43.41,1334.58,1563.99
2024-01,Ontario,Agriculture,Part-time,Male,65+,49.83,48.02,1591.23,1526.17
2024-01,Ontario,Agriculture,Part-time,Female,15-24,35.29,34.41,1101.25,1219.42
2024-01,Ontario,Agriculture,Part-time,Female,25-34,22.09,21.81,696.68,864.75
2024-01,Ontario,Agriculture,Part-time,Female,35-44,18.46,17.77,706.46,616.76
2024-01,Ontario,Agriculture,Part-time,Female,45-54,40.04,38.32,1283.48,1351.2
2024-01,Ontario,Agriculture,Part-time,Female,55-64,27.6,27.2,994.33,914.03
2024-01,Ontario,Agriculture,Part-time,Female,65+,30.55,30.56,1136.39,928.99
2024-01,Ontario,Agriculture,Part-time,Non-binary,15-24,37.07,38.91,1361.24,1445.97
2024-01,Ontario,Agriculture,Part-time,Non-binary,25-34,18.62,19.2,720.93,624.75
2024-01,Ontario,Agriculture,Part-time,Non-binary,35-44,43.01,44.98,1719.65,1564.34
2024-01,Ontario,Agriculture,Part-time,Non-binary,45-54,25.78,26.04,897.92,973.59
2024-01,Ontario,Agriculture,Part-time,Non-binary,55-64,40.85,42.28,1479.34,1458.96
2024-01,Ontario,Agriculture,Part-time,Non-binary,65+,47.59,48.03,1524.26,1466.82
2024-01,Ontario,Construction,Full-time,Male,15-24,33.03,33.23,1070.83,1236.43
2024-01,Ontario,Construction,Full-time,Male,25-34,35.01,34.5,1133.39,1104.86
2024-01,Ontario,Construction,Full-time,Male,35-44,40.32,39.17,1419.68,1491.54
2024-01,Ontario,Construction,Full-time,Male,45-54,26.65,26.48,874.59,1008.42
2024-01,Ontario,Construction,Full-time,Male,55-64,45.37,43.93,1709.13,1552.63
2024-01,Ontario,Construction,Full-time,Male,65+,28.49,27.59,954.97,849.56
2024-01,Ontario,Construction,Full-time,Female,15-24,34.92,36.48,1307.14,1323.48
2024-01,Ontario,Construction,Full-time,Female,25-34,29.23,27.92,958.35,899.79
2024-01,Ontario,Construction,Full-time,Female,35-44,30.38,29.82,946.89,1011.88
2024-01,Ontario,Construction,Full-time,Female,45-54,24.83,25.23,809.67,992.36
2024-01,Ontario,Construction,Full-time,Female,55-64,36.79,35.2,1455.05,1274.36
2024-01,Ontario,Construction,Full-time,Female,65+,18.32,18.34,685.51,600.15
2024-01,Ontario,Construction,Full-time,Non-binary,15-24,45.19,45.52,1605.52,1718.9
2024-01,Ontario,Construction,Full-time,Non-binary,25-34,39.78,39.0,1446.42,1180.9
2024-01,Ontario,Construction,Full-time,Non-binary,35-44,24.89,23.86,920.95,926.65
2024-01,Ontario,Construction,Full-time,Non-binary,45-54,31.32,30.24,1032.21,933.93
2024-01,Ontario,Construction,Full-time,Non-binary,55-64,48.11,49.62,1782.05,1728.92
2024-01,Ontario,Construction,Full-time,Non-binary,65+,18.41,18.61,716.79,591.1
2024-01,Ontario,Construction,Part-time,Male,15-24,17.53,16.93,666.94,598.11
2024-01,Ontario,Construction,Part-time,Male,25-34,25.55,24.36,969.32,766.84
2024-01,Ontario,Construction,Part-time,Male,35-44,47.21,49.48,1685.63,1696.66
2024-01,Ontario,Construction,Part-time,Male,45-54,16.89,16.77,553.9,645.08
2024-01,Ontario,Construction,Part-time,Male,55-64,47.37,49.27,1748.66,1509.92
2024-01,Ontario,Construction,Part-time,Male,65+,40.68,39.7,1536.54,1296.48
2024-01,Ontario,Construction,Part-time,Female,15-24,27.56,27.25,968.63,992.98
2024-01,Ontario,Construction,Part-time,Female,25-34,23.02,22.07,728.02,717.64
2024-01,Ontario,Construction,Part-time,Female,35-44,15.98,15.49,519.41,515.07
2024-01,Ontario,Construction,Part-time,Female,45-54,29.63,30.81,983.88,1104.3
2024-01,Ontario,Construction,Part-time,Female,55-64,44.03,44.53,1495.21,1719.81
2024-01,Ontario,Construction,Part-time,Female,65+,39.09,39.79,1339.52,1451.03
2024-01,Ontario,Construction,Part-time,Non-binary,15-24,48.46,50.21,1535.82,1548.68
2024-01,Ontario,Construction,Part-time,Non-binary,25-34,49.39,49.69,1860.88,1569.59
2024-01,Ontario,Construction,Part-time,Non-binary,35-44,45.15,43.5,1542.34,1628.32
2024-01,Ontario,Construction,Part-time,Non-binary,45-54,30.7,29.87,1172.07,1054.24
2024-01,Ontario,Construction,Part-time,Non-binary,55-64,45.51,45.65,1391.82,1608.14
2024-01,Ontario,Construction,Part-time,Non-binary,65+,19.52,18.54,682.34,614.39
2024-01,Ontario,Manufacturing,Full-time,Male,15-24,26.4,25.39,909.02,815.19
2024-01,Ontario,Manufacturing,Full-time,Male,25-34,18.68,19.13,702.0,755.8
